medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Silver Medal,2,2024-07-27,FARES FERJANI,TUN,M,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1937783
Bronze Medal,3,2024-07-27,LUIGI SAMELE,ITA,M,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000200--,1924595
Gold Medal,1,2024-07-27,KONG MAN WAI VIVIAN,HKG,W,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1963262
Silver Medal,2,2024-07-27,AURIANE MALLO-BRETON,FRA,W,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1916183
Bronze Medal,3,2024-07-27,ESZTER MUHARI,HUN,W,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000200--,1946375
Gold Medal,1,2024-07-27,YELDOS SMETOV,KAZ,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1935408
Silver Medal,2,2024-07-27,LUKA MKHEIDZE,FRA,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1891304
Bronze Medal,3,2024-07-27,NAGAYAMA RYUJU,JPN,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000100--,1896752
Bronze Medal,3,2024-07-27,FRANCISCO GARRIGOS,ESP,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000200--,1563544
Gold Medal,1,2024-07-27,TSUNODA NATSUMI,JPN,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1896735
Silver Medal,2,2024-07-27,BAASANKHUU BAVUUDORJ,MGL,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1914467
Bronze Medal,3,2024-07-27,SHIRINE BOUKLI,FRA,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000100--,1891280
Bronze Medal,3,2024-07-27,TARA BABULFATH,SWE,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000200--,1571911
Gold Medal,1,2024-07-27,FRANCE,FRA,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,RU7MTEAM7---FRA01
Silver Medal,2,2024-07-27,FIJI,FIJ,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,RU7MTEAM7---FIJ01
Bronze Medal,3,2024-07-27,SOUTH AFRICA,RSA,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,RU7MTEAM7---RSA01
Gold Medal,1,2024-07-27,CHINA 1,CHN,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--,SHOXARMT----CHN01
Silver Medal,2,2024-07-27,KOREA 1,KOR,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--,SHOXARMT----KOR01
Bronze Medal,3,2024-07-27,KAZAKHSTAN 1,KAZ,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000200--,SHOXARMT----KAZ01
Gold Medal,1,2024-07-27,UNITED STATES,USA,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,SWMM4X100MFRUSA01
Silver Medal,2,2024-07-27,AUSTRALIA,AUS,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,SWMM4X100MFRAUS01
Bronze Medal,3,2024-07-27,ITALY,ITA,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,SWMM4X100MFRITA01
Gold Medal,1,2024-07-27,LUKAS MAERTENS,GER,M,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,1907192
Silver Medal,2,2024-07-27,ELIJAH WINNINGTON,AUS,M,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,1946172
Bronze Medal,3,2024-07-27,KIM WOOMIN,KOR,M,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,4654306
Gold Medal,1,2024-07-27,AUSTRALIA,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,SWMW4X100MFRAUS01
Silver Medal,2,2024-07-27,UNITED STATES,USA,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,SWMW4X100MFRUSA01
Bronze Medal,3,2024-07-27,CHINA,CHN,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,SWMW4X100MFRCHN01
Gold Medal,1,2024-07-27,ARIARNE TITMUS,AUS,W,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1946150
Silver Medal,2,2024-07-27,SUMMER MCINTOSH,CAN,W,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1967140
Bronze Medal,3,2024-07-27,KATIE LEDECKY,USA,W,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1935938
Gold Medal,1,2024-07-28,KOREA,KOR,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,ARCWTEAM3---KOR01
Silver Medal,2,2024-07-28,CHINA,CHN,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,ARCWTEAM3---CHN01
Bronze Medal,3,2024-07-28,MEXICO,MEX,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000200--,ARCWTEAM3---MEX01
Gold Medal,1,2024-07-28,JESSICA FOX,AUS,W,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1940205
Silver Medal,2,2024-07-28,KLAUDIA ZWOLINSKA,POL,W,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1942126
Bronze Medal,3,2024-07-28,KIMBERLEY WOODS,GBR,W,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1896045
Gold Medal,1,2024-07-28,KANO KOKI,JPN,M,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1896548
Silver Medal,2,2024-07-28,YANNICK BOREL,FRA,M,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1916194
Bronze Medal,3,2024-07-28,MOHAMED ELSAYED,EGY,M,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000200--,1936462
Gold Medal,1,2024-07-28,LEE KIEFER,USA,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1950611
Silver Medal,2,2024-07-28,LAUREN SCRUGGS,USA,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1950643
Bronze Medal,3,2024-07-28,ELEANOR HARVEY,CAN,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000200--,1973213
Gold Medal,1,2024-07-28,ABE HIFUMI,JPN,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1896763
Silver Medal,2,2024-07-28,WILLIAN LIMA,BRA,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1953840
Bronze Medal,3,2024-07-28,GUSMAN KYRGYZBAYEV,KAZ,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000100--,1935410
Bronze Medal,3,2024-07-28,DENIS VIERU,MDA,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000200--,1561138
Gold Medal,1,2024-07-28,DIYORA KELDIYOROVA,UZB,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1566997
Silver Medal,2,2024-07-28,DISTRIA KRASNIQI,KOS,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1550162
Bronze Medal,3,2024-07-28,LARISSA PIMENTA,BRA,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000100--,1953817
Bronze Medal,3,2024-07-28,AMANDINE BUCHARD,FRA,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000200--,1891283
Gold Medal,1,2024-07-28,XIE YU,CHN,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1913907
Silver Medal,2,2024-07-28,FEDERICO NILO MALDINI,ITA,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1551388
Bronze Medal,3,2024-07-28,PAOLO MONNA,ITA,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1551387
Gold Medal,1,2024-07-28,OH YE JIN,KOR,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1893972
Silver Medal,2,2024-07-28,KIM YEJI,KOR,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1893930
Bronze Medal,3,2024-07-28,MANU BHAKER,IND,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1538159
Gold Medal,1,2024-07-28,YOSHIZAWA COCO,JPN,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1902055
Silver Medal,2,2024-07-28,AKAMA LIZ,JPN,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1902069
Bronze Medal,3,2024-07-28,RAYSSA LEAL,BRA,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1955689
Gold Medal,1,2024-07-28,NICOLO MARTINENGHI,ITA,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1925633
Silver Medal,2,2024-07-28,ADAM PEATY,GBR,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1956469
Silver Medal,2,2024-07-28,NIC FINK,USA,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1935901
Gold Medal,1,2024-07-28,LEON MARCHAND,FRA,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1909294
Silver Medal,2,2024-07-28,MATSUSHITA TOMOYUKI,JPN,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1963635
Bronze Medal,3,2024-07-28,CARSON FOSTER,USA,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1935903
Gold Medal,1,2024-07-28,TORRI HUSKE,USA,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1935923
Silver Medal,2,2024-07-28,GRETCHEN WALSH,USA,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1935998
Bronze Medal,3,2024-07-28,ZHANG YUFEI,CHN,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1945125
Gold Medal,1,2024-07-29,KOREA,KOR,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000100--,ARCMTEAM3---KOR01
Silver Medal,2,2024-07-29,FRANCE,FRA,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000100--,ARCMTEAM3---FRA01
Bronze Medal,3,2024-07-29,TÜRKIYE,TUR,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000200--,ARCMTEAM3---TUR01
Gold Medal,1,2024-07-29,JAPAN,JPN,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----JPN01
Silver Medal,2,2024-07-29,CHINA,CHN,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----CHN01
Bronze Medal,3,2024-07-29,UNITED STATES,USA,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----USA01
Gold Medal,1,2024-07-29,NICOLAS GESTIN,FRA,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1880479
Silver Medal,2,2024-07-29,ADAM BURGESS,GBR,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1896030
Bronze Medal,3,2024-07-29,MATEJ BENUS,SVK,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1961080
Gold Medal,1,2024-07-29,CHINA,CHN,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2CHN01
Silver Medal,2,2024-07-29,GREAT BRITAIN,GBR,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2GBR01
Bronze Medal,3,2024-07-29,CANADA,CAN,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2CAN01
Gold Medal,1,2024-07-29,MICHAEL JUNG,GER,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1914921
Silver Medal,2,2024-07-29,CHRISTOPHER BURTON,AUS,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1940438
Bronze Medal,3,2024-07-29,LAURA COLLETT,GBR,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1970898
Gold Medal,1,2024-07-29,GREAT BRITAIN,GBR,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMGBR01
Silver Medal,2,2024-07-29,FRANCE,FRA,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMFRA01
Bronze Medal,3,2024-07-29,JAPAN,JPN,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMJPN01
Gold Medal,1,2024-07-29,CHEUNG KA LONG,HKG,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,1963245
Silver Medal,2,2024-07-29,FILIPPO MACCHI,ITA,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,1924289
Bronze Medal,3,2024-07-29,NICK ITKIN,USA,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000200--,1950602
Gold Medal,1,2024-07-29,MANON APITHY-BRUNET,FRA,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1916223
Silver Medal,2,2024-07-29,SARA BALZER,FRA,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1916222
Bronze Medal,3,2024-07-29,OLGA KHARLAN,UKR,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000200--,1897644
Gold Medal,1,2024-07-29,HIDAYAT HEYDAROV,AZE,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,1972337
Silver Medal,2,2024-07-29,JOAN-BENJAMIN GABA,FRA,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,1891311
Bronze Medal,3,2024-07-29,ADIL OSMANOV,MDA,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000100--,1563437
Bronze Medal,3,2024-07-29,HASHIMOTO SOICHI,JPN,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000200--,1896740
Gold Medal,1,2024-07-29,CHRISTA DEGUCHI,CAN,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,1955526
Silver Medal,2,2024-07-29,HUH MIMI,KOR,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,1928067
Bronze Medal,3,2024-07-29,FUNAKUBO HARUKA,JPN,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000100--,1896733
Bronze Medal,3,2024-07-29,SARAH LEONIE CYSIQUE,FRA,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000200--,1891286
Gold Medal,1,2024-07-29,SHENG LIHAO,CHN,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1913899
Silver Medal,2,2024-07-29,VICTOR LINDGREN,SWE,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1572919
Bronze Medal,3,2024-07-29,MIRAN MARICIC,CRO,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1888047
Gold Medal,1,2024-07-29,BAN HYOJIN,KOR,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1893845
Silver Medal,2,2024-07-29,HUANG YUTING,CHN,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1913945
Bronze Medal,3,2024-07-29,AUDREY GOGNIAT,SUI,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1976545
Gold Medal,1,2024-07-29,HORIGOME YUTO,JPN,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1902081
Silver Medal,2,2024-07-29,JAGGER EATON,USA,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1944226
Bronze Medal,3,2024-07-29,NYJAH HUSTON,USA,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1944232
Gold Medal,1,2024-07-29,THOMAS CECCON,ITA,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1925635
Silver Medal,2,2024-07-29,XU JIAYU,CHN,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1945132
Bronze Medal,3,2024-07-29,RYAN MURPHY,USA,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1935957
Gold Medal,1,2024-07-29,DAVID POPOVICI,ROU,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1543549
Silver Medal,2,2024-07-29,MATTHEW RICHARDS,GBR,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1903617
Bronze Medal,3,2024-07-29,LUKE HOBSON,USA,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1935918
Gold Medal,1,2024-07-29,TATJANA SMITH,RSA,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1962589
Silver Medal,2,2024-07-29,TANG QIANTING,CHN,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1945200
Bronze Medal,3,2024-07-29,MONA MC SHARRY,IRL,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1543304
Gold Medal,1,2024-07-29,MOLLIE O'CALLAGHAN,AUS,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1946218
Silver Medal,2,2024-07-29,ARIARNE TITMUS,AUS,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1946150
Bronze Medal,3,2024-07-29,HAUGHEY SIOBHAN BERNADETTE,HKG,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1925125
Gold Medal,1,2024-07-29,SUMMER MCINTOSH,CAN,W,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,1967140
Silver Medal,2,2024-07-29,KATIE GRIMES,USA,W,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,1935909
Bronze Medal,3,2024-07-29,EMMA WEYANT,USA,W,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,1936001
Gold Medal,1,2024-07-30,UNITED STATES,USA,W,Artistic Gymnastics,Women's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--,GARWTEAM----USA01
Silver Medal,2,2024-07-30,ITALY,ITA,W,Artistic Gymnastics,Women's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--,GARWTEAM----ITA01
Bronze Medal,3,2024-07-30,BRAZIL,BRA,W,Artistic Gymnastics,Women's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--,GARWTEAM----BRA01
Gold Medal,1,2024-07-30,ITALY,ITA,W,Fencing,Women's Épée Team,HTEAM,/en/paris-2024/results/fencing/women-s-epee-team/fnl-000100--,FENWTEAMEPEEITA01
Silver Medal,2,2024-07-30,FRANCE,FRA,W,Fencing,Women's Épée Team,HTEAM,/en/paris-2024/results/fencing/women-s-epee-team/fnl-000100--,FENWTEAMEPEEFRA01
Bronze Medal,3,2024-07-30,POLAND,POL,W,Fencing,Women's Épée Team,HTEAM,/en/paris-2024/results/fencing/women-s-epee-team/fnl-000200--,FENWTEAMEPEEPOL01
Gold Medal,1,2024-07-30,NAGASE TAKANORI,JPN,M,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/fnl-000100--,1896765
Silver Medal,2,2024-07-30,TATO GRIGALASHVILI,GEO,M,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/fnl-000100--,1546651
Bronze Medal,3,2024-07-30,LEE JOONHWAN,KOR,M,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/repf000100--,1928079
Bronze Medal,3,2024-07-30,SOMON MAKHMADBEKOV,TJK,M,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/repf000200--,1570561
Gold Medal,1,2024-07-30,ANDREJA LESKI,SLO,W,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/fnl-000100--,1980833
Silver Medal,2,2024-07-30,PRISCA AWITI ALCARAZ,MEX,W,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/fnl-000100--,1537287
Bronze Medal,3,2024-07-30,CLARISSE AGBEGNENOU,FRA,W,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/repf000100--,1891289
Bronze Medal,3,2024-07-30,LAURA FAZLIU,KOS,W,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/repf000200--,1550167
Gold Medal,1,2024-07-30,NEW ZEALAND,NZL,W,Rugby Sevens,Women,HTEAM,/en/paris-2024/results/rugby-sevens/women/fnl-000100--,RU7WTEAM7---NZL01
Silver Medal,2,2024-07-30,CANADA,CAN,W,Rugby Sevens,Women,HTEAM,/en/paris-2024/results/rugby-sevens/women/fnl-000100--,RU7WTEAM7---CAN01
Bronze Medal,3,2024-07-30,UNITED STATES,USA,W,Rugby Sevens,Women,HTEAM,/en/paris-2024/results/rugby-sevens/women/fnl-000200--,RU7WTEAM7---USA01
Gold Medal,1,2024-07-30,SERBIA,SRB,X,Shooting,10m Air Pistol Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000100--,SHOXAPMT----SRB01
Silver Medal,2,2024-07-30,TÜRKIYE 2,TUR,X,Shooting,10m Air Pistol Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000100--,SHOXAPMT----TUR02
Bronze Medal,3,2024-07-30,INDIA 1,IND,X,Shooting,10m Air Pistol Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000200--,SHOXAPMT----IND01
Gold Medal,1,2024-07-30,NATHAN HALES,GBR,M,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,1904430
Silver Medal,2,2024-07-30,QI YING,CHN,M,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,1913928
Bronze Medal,3,2024-07-30,JEAN PIERRE BROL CARDENAS,GUA,M,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,1958970
Gold Medal,1,2024-07-30,GREAT BRITAIN,GBR,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-200m-freestyle-relay/fnl-000100--,SWMM4X200MFRGBR01
Silver Medal,2,2024-07-30,UNITED STATES,USA,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-200m-freestyle-relay/fnl-000100--,SWMM4X200MFRUSA01
Bronze Medal,3,2024-07-30,AUSTRALIA,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-200m-freestyle-relay/fnl-000100--,SWMM4X200MFRAUS01
